,Price,Area,Price Per Area,Beds,Baths,Street,City,State,Broker,Month,Day,Year
119,3198000.0,2681.0,1192.838493,4.0,3.0,11701 Putter Way,Los Altos,CA,Golden Gate Sotheby's International Realty,5,14,2018
120,6800000.0,3985.0,1706.398996,5.0,4.0,830 Arroyo Rd,Los Altos,CA,Sereno Group,5,14,2018
121,1350000.0,1576.0,856.5989847999997,2.0,4.0,755 Brewster Ave,Redwood City,CA,Midtown Realty,5,14,2018
122,1479000.0,2162.0,684.0888067000002,4.0,2.0,855 Adams St,Redwood City,CA,Coldwell Banker Residential Brokerage - Los Gatos,5,14,2018
123,13998000.0,7413.0,1888.30433,5.0,5.0,4174 Oak Hill Ave,Palo Alto,CA,,5,14,2018
124,7988000.0,4448.0,1795.863309,5.0,4.0,1818 Bryant St,Palo Alto,CA,Deleon Realty,5,14,2018
125,10988000.0,7743.0,1419.088209,5.0,6.0,1535 Edgewood Dr,Palo Alto,CA,,5,14,2018
126,4500000.0,3487.0,1290.5076,5.0,4.0,152 Melville Ave,Palo Alto,CA,Golden Gate Sotheby's International Realty,5,14,2018
127,3298000.0,2456.0,1342.833876,5.0,3.0,1070 Mcgregor Way,Palo Alto,CA,,5,14,2018
128,5698000.0,5292.0,1076.7195769999996,5.0,5.0,3513 Waverley St,Palo Alto,CA,Pacific Union International Inc.,5,14,2018
129,7250000.0,4430.0,1636.568849,6.0,4.0,333 Santa Rita Ave,Palo Alto,CA,,5,14,2018
130,1999000.0,1499.0,1333.555704,3.0,2.0,3387 Kenneth Dr,Palo Alto,CA,Authentic Real Estate,5,14,2018
131,4998000.0,3503.0,1426.777048,5.0,7.0,931 Clara Dr,Palo Alto,CA,DPL Real Estate,5,14,2018
132,1800000.0,3750.0,480.0,4.0,3.0,4145 Byron St,Palo Alto,CA,BHHS California Properties,5,14,2018
133,1649000.0,1772.0,930.5869074,4.0,4.0,230 Bryant St APT 8,Mountain View,CA,Coldwell Banker Residential Brokerage - Los Gatos,5,14,2018
134,1198000.0,1274.0,940.3453689,2.0,2.0,233 Horizon Ave,Mountain View,CA,Coldwell Banker Residential Brokerage - San Jose-Willow Glen,5,14,2018
135,598888.0,600.0,998.1466667,1.0,1.0,650 Alamo Ct APT 18,Mountain View,CA,,5,14,2018
136,1899000.0,1611.0,1178.77095,3.0,3.0,266 Walker Dr,Mountain View,CA,Maxreal,5,14,2018
137,2098000.0,1555.0,1349.196141,3.0,2.0,1655 Villa St,Mountain View,CA,Valley Vine Realty,5,14,2018
138,895000.0,995.0,899.4974874,2.0,1.0,400 Ortega Ave APT 106,Mountain View,CA,,5,14,2018
139,269000.0,1100.0,244.5454545,3.0,2.0,433 Sylvan Ave SPC 115,Mountain View,CA,Alliance Manufactured Homes,5,14,2018
140,2449000.0,1919.0,1276.185513,3.0,3.0,1111 Blackfield Way,Mountain View,CA,Golden Gate Sotheby's International Realty,5,14,2018
141,279000.0,1244.0,224.2765273,3.0,2.0,191 E El Camino Real SPC 124,Mountain View,CA,,5,14,2018
142,1249000.0,1150.0,1086.086957,2.0,2.0,743 Cottage Ct,Mountain View,CA,ASJ Real Estate Investments,5,14,2018
143,6998000.0,609.0,11490.9688,1.0,1.0,760 Edgewood Ln,Los Altos,CA,,5,14,2018
144,2598000.0,1631.0,1592.887799,3.0,3.0,734 S El Monte Ave,Los Altos,CA,,5,14,2018
145,3650000.0,3156.0,1156.52725,4.0,4.0,23271 Mora Heights Way,Los Altos,CA,,5,14,2018
146,3800000.0,3132.0,1213.282248,3.0,3.0,1551 Julie Ln,Los Altos,CA,CENTURY 21 Lad Realty,5,14,2018
147,3798000.0,4210.0,902.1377672209026,5.0,3.0,3863 Chatham Ct,Redwood City,CA,Coldwell Banker Residential Brokerage - San Mateo-Downtown,6,5,2018
148,1395000.0,1300.0,1073.076923076923,3.0,2.0,998 Emerald Hill Rd,Redwood City,CA,,6,5,2018
149,309000.0,1160.0,266.37931034482756,3.0,2.0,2053 E Bayshore Rd SPC 64,Redwood City,CA,Alliance Manufactured Homes,6,5,2018
150,1399000.0,1680.0,832.7380952380953,3.0,3.0,767 Roosevelt Ave,Redwood City,CA,"Dwell Realtors, Inc.",6,5,2018
151,1798000.0,1953.0,920.6349206349206,3.0,2.0,450 Beresford Ave,Redwood City,CA,Coldwell Banker Residential Brokerage - Menlo Park,6,5,2018
152,1287000.0,1280.0,1005.46875,3.0,2.0,1621 Alameda De Las Pulgas,Redwood City,CA,"Dwell Realtors, Inc.",6,5,2018
153,799000.0,640.0,1248.4375,1.0,1.0,1 Vera Ct,Redwood City,CA,,6,5,2018
154,2195000.0,3400.0,645.5882352941177,4.0,4.0,300 E Oakwood Blvd,Redwood City,CA,Coldwell Banker Residential Brokerage - San Francisco Pacific Heights,6,5,2018
155,2188000.0,2276.0,961.3356766256592,4.0,4.0,2752 Kensington Rd,Redwood City,CA,KW Silicon City,6,5,2018
156,1818000.0,2180.0,833.9449541284404,3.0,2.0,2115 Harding Ave,Redwood City,CA,,6,5,2018
157,1699000.0,1510.0,1125.1655629139073,3.0,2.0,15 Winston Way,Redwood City,CA,Sereno Group,6,5,2018
158,1389998.0,1120.0,1241.0696428571428,3.0,1.0,128 Stanley St,Redwood City,CA,,6,5,2018
159,225000.0,504.0,446.4285714285714,1.0,1.0,1548 Maple St # 98,Redwood City,CA,Signature Realty & Mortgage,6,5,2018
160,1150000.0,1720.0,668.6046511627908,3.0,2.0,327 Hemlock Ave,Redwood City,CA,,6,5,2018
161,1649000.0,1680.0,981.547619047619,3.0,2.0,717 Canyon Rd,Redwood City,CA,Zephyr Real Estate,6,5,2018
162,2495000.0,2530.0,986.1660079051384,4.0,3.0,1773 Hull Ave,Redwood City,CA,,6,5,2018
163,1080000.0,930.0,1161.2903225806454,2.0,1.0,1402 Arguello St,Redwood City,CA,,6,5,2018
164,869900.0,1000.0,869.9,2.0,1.0,136 Manzanita St,Redwood City,CA,Loans Realty Group,6,5,2018
165,1499000.0,1300.0,1153.076923076923,3.0,2.0,3715 Farm Hill Blvd,Redwood City,CA,"Slava Real Estate, Inc.",6,5,2018
166,2690000.0,3620.0,743.0939226519338,5.0,4.0,1742 Kansas St,Redwood City,CA,Coldwell Banker Residential Brokerage - Redwood City - San Carlos,6,5,2018
167,1198000.0,1000.0,1198.0,2.0,1.0,1168 Adams St,Redwood City,CA,,6,5,2018
168,1329000.0,1320.0,1006.8181818181821,3.0,2.0,1703 Roosevelt Ave,Redwood City,CA,,6,5,2018
169,2860000.0,3092.0,924.9676584734801,4.0,4.0,1745 Hull Ave,Redwood City,CA,,6,5,2018
170,1049000.0,1200.0,874.1666666666665,2.0,2.0,1603 Chelsea Way,Redwood City,CA,Coldwell Banker Residential Brokerage - San Mateo-Downtown,6,5,2018
171,2198000.0,2850.0,771.2280701754387,4.0,4.0,2602 Mcgarvey Ave,Redwood City,CA,Pacific Union International Inc.,6,5,2018
172,2885000.0,2270.0,1270.9251101321586,3.0,3.0,28 Fulton St,Redwood City,CA,,6,5,2018
173,3159000.0,3200.0,987.1875,4.0,4.0,3723 Jefferson Ct,Redwood City,CA,,6,5,2018
174,1677950.0,2120.0,791.4858490566037,3.0,3.0,2105 Madison Ave,Redwood City,CA,Condor Commercial,6,5,2018
175,4295000.0,7700.0,557.7922077922078,6.0,7.0,7 Colton Ct,Redwood City,CA,Coldwell Banker Residential Brokerage - Woodside,6,5,2018
176,1850000.0,1660.0,1114.4578313253012,3.0,2.0,132 Rutherford Ave,Redwood City,CA,Coldwell Banker Residential Brokerage - Woodside,6,5,2018
177,199900.0,1000.0,199.9,2.0,2.0,2053 E Bayshore Rd SPC 27,Redwood City,CA,Coldwell Banker C&C Properties,6,5,2018
178,799000.0,800.0,998.75,1.0,1.0,2323 Eastridge Ave APT 513,Menlo Park,CA,Alain Pinel Realtors,6,5,2018
179,2098000.0,1610.0,1303.1055900621118,3.0,2.0,484 Oconnor St,Menlo Park,CA,Golden Gate Sotheby's International Realty,6,5,2018
180,3998000.0,2650.0,1508.6792452830189,4.0,3.0,1840 Oakdell Dr,Menlo Park,CA,,6,5,2018
181,3795000.0,2520.0,1505.952380952381,4.0,3.0,187 E Creek Dr,Menlo Park,CA,,6,5,2018
182,5375000.0,4240.0,1267.688679245283,4.0,4.0,5 Zachary Ct,Menlo Park,CA,Douglas Elliman,6,5,2018
183,1699000.0,1740.0,976.4367816091954,3.0,3.0,2142 Sand Hill Rd,Menlo Park,CA,Today Sotheby's International Realty,6,5,2018
184,2195000.0,1780.0,1233.1460674157304,4.0,2.0,220 Oakhurst Pl,Menlo Park,CA,,6,5,2018
185,1988000.0,2220.0,895.4954954954953,3.0,3.0,158 Buckthorn Way,Menlo Park,CA,Deleon Realty,6,5,2018
186,3499000.0,2150.0,1627.4418604651162,4.0,3.0,65 La Loma Dr,Menlo Park,CA,Coldwell Banker Residential Brokerage - Menlo Park,6,5,2018
187,1688000.0,1661.0,1016.255267910897,2.0,2.0,2147 Avy Ave,Menlo Park,CA,,6,5,2018
188,3798000.0,2591.0,1465.8433037437287,4.0,4.0,2098 Manzanita Ave,Menlo Park,CA,Coldwell Banker Residential Brokerage - Menlo Park,6,5,2018
189,2075000.0,2235.0,928.4116331096196,3.0,3.0,4123 Fair Oaks Ave,Menlo Park,CA,Sereno Group,6,5,2018
190,5185000.0,3370.0,1538.5756676557864,5.0,4.0,1785 Croner Ave,Menlo Park,CA,,6,5,2018
191,7995000.0,5819.0,1373.9474136449562,7.0,8.0,2315 Crest Ln,Menlo Park,CA,,6,5,2018
192,4488000.0,3313.0,1354.663447026864,5.0,5.0,1180 Cloud Ave,Menlo Park,CA,Golden Gate Sotheby's International Realty,6,5,2018
